STATE ID,STATE,FATAL,SERIOUS,MINOR,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,PERIOD
202,Imo,7,16,3,26,54,17,71,134,Q1 2022
203,Jigawa,18,83,1,102,417,37,454,724,Q1 2022
204,Kaduna,82,106,9,197,887,197,1084,1818,Q1 2022
205,Kano,42,48,2,92,417,138,555,782,Q1 2022
206,Katsina,12,1,0,13,76,37,113,143,Q1 2022
207,Kebbi,7,46,4,57,229,22,251,350,Q1 2022
208,Kogi,41,86,15,142,474,95,569,1449,Q1 2022
209,Kwara,32,55,7,94,315,86,401,635,Q1 2022
210,Lagos,25,98,75,198,276,48,324,1118,Q1 2022
211,Nasarawa,47,189,11,247,556,70,626,1225,Q1 2022
212,Niger,62,80,4,146,754,155,909,1580,Q1 2022
213,Ogun,63,158,47,268,656,126,782,1915,Q1 2022
214,Ondo,33,82,12,127,355,54,409,1038,Q1 2022
215,Osun,23,67,12,102,376,29,405,883,Q1 2022
216,Oyo,46,113,14,173,540,73,613,1337,Q1 2022
217,Plateau,22,51,0,73,270,36,306,508,Q1 2022
218,Rivers,5,19,5,29,58,7,65,157,Q1 2022
219,Sokoto,8,17,2,27,103,13,116,231,Q1 2022
220,Taraba,14,56,1,71,248,32,280,420,Q1 2022
221,Yobe,17,9,0,26,133,63,196,272,Q1 2022
222,Zamfara,5,21,1,27,130,10,140,185,Q1 2022
